 2022  310 0258 31.5 L  35.975  52.898 15.0  INS  1 0.3 4.9LINS-2.4CINS        1
 GAP=114        0.84       1.8     1.9  6.5  0.1066E+01 -0.1260E+01 -0.2648E+00E
 Iranian Seismological Center, Institute of Geophysics, University of Tehran   6
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO SNR AR TRES  W DIS CAZ7
 FIR  BZ EPg  0   0258 38.6                               99   -0.3710 39.2 199 
 FIR  BE ESg  0   0258 44.3                               99   -0.1510 39.2 199 
 PRN  SZ EPg  0   0258 41.6                               92   -0.3210 58.5 301 
 PRN  SE ESg  0   0258 49.1                               92   -0.4510 58.5 301 
 PRN  SZ E    0   0258 50.30    281512.0 0.36                          58.5 301 
 LAS  SZ EPg  0   0258 43.3                               92    0.1510 66.2 175 
 LAS  SZ E    0   0258 52.18    231771.0 0.44                          66.2 175 
 DMV  SZ EPg  0   0258 46.8                               91   -0.2210 89.9 241 
 DMV  SE ESg  0   0258 58.3                               91   -0.0810 89.9 241 
 DMV  SZ E    0   0258 59.50     85444.8 0.32                          89.9 241 
 GLO  SZ EPg  0   0258 49.2                               91    0.2810  102  55 
 GLO  SZ E    0   0259  9.34    126821.0 0.44                           102  55 
 ANJ  SZ EPg  0   0258 49.7                               91   -0.1010  108 121 
 ANJ  SN ESg  0   0259 3.0                                91   -0.2010  108 121 
 ANJ  SZ E    0   0259 11.90     63624.0 0.16                           108 121 
 MZPU BZ EPg  0   0258 53.1                               91   -0.2610  130 294 
 MZPU BE ESg  0   0259 9.9                                91    0.5510  130 294 
 MZPU BZ E    0   0259 20.20     30567.6 0.76                           130 294 
 TEH  BZ EPg  0   0258 54.7                               91    0.0710  139 260 
 TEH  BZ E    0   0259 27.48     35948.4 0.56                           139 260 
 VRN  BZ EPg  0   0258 57.2                               90    0.4510  152 225 
 VRN  BZ E    0   0259 20.40     35367.5 0.32                           152 225 
 HSB  BZ EPg  0   0258 58.0                               90    0.2410  158 248 
 HSB  BZ E    0   0259  0.08     28019.2 0.44                           158 248 
 SFB  BZ EPn  0   0259 3.1                                52    0.4110  190 199 
 SFB  BZ E    0   0259 31.50     35240.5 0.32                           190 199 
                                                                                
